Código Seção,Seção,Código Divisão,Divisão,Código Grupo,Grupo,Código Classe,Classe,Código Subclasse,Subclasse
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/01,Cultivo de arroz
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/02,Cultivo de milho
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/03,Cultivo de trigo
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/99,Cultivo de outros cereais não especificados anteriormente
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/01,Cultivo de algodão herbáceo
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/02,Cultivo de juta
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.13-0,Cultivo de cana-de-açúcar,0113-0/00,Cultivo de cana de açúcar
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.14-8,Cultivo de fumo,0114-8/00,Cultivo de fumo
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.15-6,Cultivo de soja,0115-6/00,Cultivo de soja
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/01,Cultivo de amendoim
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/02,Cultivo de girassol
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/03,Cultivo de mamona
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/01,Cultivo de abacaxi
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/02,Cultivo de alho
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/03,Cultivo de batata inglesa
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/04,Cultivo de cebola
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/05,Cultivo de feijão
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/06,Cultivo de mandioca
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/07,Cultivo de melão
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/08,Cultivo de melancia
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/09,Cultivo de tomate rasteiro
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.2,Horticultura e floricultura,01.21-1,Horticultura,0121-1/01,"Horticultura, exceto morango"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.2,Horticultura e floricultura,01.21-1,Horticultura,0121-1/02,Cultivo de morango
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.2,Horticultura e floricultura,01.22-9,Cultivo de flores e plantas ornamentais,0122-9/00,Cultivo de flores e plantas ornamentais
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.31-8,Cultivo de laranja,0131-8/00,Cultivo de laranja
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.32-6,Cultivo de uva,0132-6/00,Cultivo de uva
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/01,Cultivo de açaí
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/02,Cultivo de banana
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/03,Cultivo de caju
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/04,"Cultivo de cítricos, exceto laranja"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/05,Cultivo de coco da baía
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/06,Cultivo de guaraná
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/07,Cultivo de maçã
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/08,Cultivo de mamão
